"Site.Name","Sampling.Year","n_samples","PercProt_round","Risk","Insecticide PRM","Other Herbicide PRM","PSII Herbicide PRM","Total PRM","TPRMround","AdjProp_Ametryn","AdjProp_Atrazine","AdjProp_Diuron","AdjProp_Hexazinone","AdjProp_Metribuzin","AdjProp_Prometryn","AdjProp_Simazine","AdjProp_Tebuthiuron","AdjProp_Terbuthylazine","AdjProp_Isoxaflutole","AdjProp_Haloxyfop","AdjProp_Imazapic","AdjProp_Metsulfuron","AdjProp_Pendimethalin","AdjProp_2,4-D","AdjProp_MCPA","AdjProp_Triclopyr","AdjProp_Fluroxypyr","AdjProp_Metolachlor","AdjProp_Chlorpyrifos","AdjProp_Fipronil","AdjProp_Imidacloprid"
"Black River at Bruce Highway","2018-2019",17,100,"Very Low",0.000109526613223877,0.00223118489405341,2.0194087908841e-05,0.00234329106841023,0,1.96484387952991e-11,4.11500288745623e-13,8.50598404712486e-38,9.95777235140308e-12,9.95777235140308e-12,3.47241902470991e-11,7.0473822247947e-31,3.00558419099002e-05,4.04839676113563e-21,9.95777235140308e-12,1.43676424706861e-19,5.41406294244347e-08,9.95777235140308e-12,2.03968117891034e-11,9.95777235140308e-12,0.00197890667028727,2.50123946894214e-06,3.43581925748008e-25,0.000223559727360137,0.000108213313826984,4.85296249703161e-24,9.95777235140308e-12
"Black River at Bruce Highway","2019-2020",29,99.4,"Very Low",0.363629076361438,0.192273689215296,1.12781428491079e-05,0.551782292515443,0.6,1.96292878502537e-11,4.11099207545328e-13,8.4976934325503e-38,9.94806670745532e-12,9.94806670745532e-12,3.46903452650068e-11,7.04051328059475e-31,4.82291795248774e-06,4.04445086880788e-21,9.94806670745532e-12,1.4353638613471e-19,5.40878596227404e-08,9.94806670745532e-12,2.03769314196886e-11,9.61646448387348e-12,0.122302629090352,0.0743541290885645,3.43247043234077e-25,0.000223341828111365,0.00278392384148794,0.352113391526651,9.94806670745532e-12
"Black River at Bruce Highway","2020-2021",44,99.6,"Very Low",0.000108898355231522,0.397427412861824,5.51998313551606e-11,0.399716417509353,0.4,4.02620092544798e-11,8.43213479009905e-13,1.74297821822736e-37,2.0404670658216e-11,2.0404670658216e-11,7.11540333381351e-11,1.44409319900992e-30,1.28065375500304e-22,8.29565084334565e-21,2.0404670658216e-11,2.94410237956523e-19,1.10940647531318e-07,0.25622903339404,4.17955153368847e-11,1.55424595078378e-11,0.00405501727149538,0.138752412871882,7.04040601813509e-25,0.000458100712513419,0.000221742067558178,9.94430259842715e-24,2.0404670658216e-11
"Black River at Bruce Highway","2021-2022",29,99.5,"Very Low",0.000109026740288638,0.482695962667641,2.2128818293223e-05,0.486279573057508,0.5,1.91610788588205e-11,4.0129343431442e-13,8.29500159258567e-38,9.71077973528693e-12,9.71077973528693e-12,3.38628913251131e-11,6.87257893435522e-31,2.70301790321372e-05,3.94798031538628e-21,9.71077973528693e-12,1.40112674225302e-19,5.27977250852095e-08,0.281148006280119,1.98908892065783e-11,9.71077973528693e-12,0.0889514067053357,0.115829533231776,3.35059718602073e-25,0.00021801455119319,0.000105529190457066,4.73258960028764e-24,9.71077973528693e-12
"Black River at Bruce Highway","2022-2023",13,99.3,"Very Low",0.000110191108420622,0.663433650135718,5.58012933267699e-11,0.660113083596227,0.7,1.95223720966528e-11,4.08860054402598e-13,8.45140865114908e-38,9.893882110591e-12,9.893882110591e-12,3.45013957506394e-11,7.00216538998993e-31,6.20967497526549e-23,4.0224217704606e-21,9.893882110591e-12,1.42754579835377e-19,5.37932567662159e-08,9.893882110591e-12,2.0265943441142e-11,9.893882110591e-12,0.489600291657664,0.170183093664985,3.41377463625351e-25,0.00022212534180553,0.000107519004453813,4.82182531778653e-24,9.893882110591e-12
"Black River at Bruce Highway","2023-2024",45,99.2,"Very Low",0.63633789356329,0.500381845653877,5.5172959226413e-11,0.829157758452704,0.8,1.61789533833704e-11,3.38838319839015e-13,7.0040129300782e-38,8.19944710895348e-12,8.19944710895348e-12,2.8592656197067e-11,5.80296835171583e-31,5.14620054639401e-23,3.3335382601223e-21,8.19944710895348e-12,1.18306304222896e-19,4.45805760309988e-08,0.23254694092365,1.67951800416955e-11,4.49947397374272e-06,0.0900272137304807,0.062765578939986,3.82570436389912e-07,0.0991812513090212,8.91052046478967e-05,0.34158706371424,0.00295567791918817
"Ross River at Aplins Weir Headwater","2017-2018",26,99.3,"Very Low",0.000109229566408535,0.688697495001123,5.52054861830223e-11,0.688169729909698,0.7,2.26021958148777e-11,4.73361278267691e-13,9.78469175257521e-38,1.14547279257747e-11,1.14547279257747e-11,3.99442905186836e-11,8.10681778265291e-31,7.18930512351829e-23,4.65699373292682e-21,1.14547279257747e-11,1.65275354395227e-19,6.22796101278323e-08,1.14547279257747e-11,2.34630719956651e-11,1.06062295609025e-11,0.687785141619703,2.87725171683649e-06,3.95232722819037e-25,0.000257167543271856,0.000124481061033688,5.58251013136011e-24,1.14547279257747e-11
"Ross River at Aplins Weir Headwater","2018-2019",11,100,"Very Low",0.000110333074729919,0.00224835821187889,5.57296797873401e-11,0.0023604648828756,0,2.00496037965845e-11,4.19901949334711e-13,8.67965194698949e-38,1.0161081621914e-11,1.0161081621914e-11,3.54331590344027e-11,7.19126964143488e-31,6.37737680355888e-23,4.13105346016422e-21,1.0161081621914e-11,1.46609886937763e-19,5.52460264434509e-08,1.0161081621914e-11,2.08132564294558e-11,1.0161081621914e-11,0.00201931029243761,2.5523076349795e-06,3.50596887349808e-25,0.000228124178472419,0.000110422720621731,4.9520461304257e-24,1.0161081621914e-11
"Ross River at Aplins Weir Headwater","2019-2020",26,99.4,"Very Low",0.000109170992175618,0.553848358080116,0.00724824374082156,0.558547507852115,0.6,2.58558050847765e-11,5.41502119785802e-13,0.00822138367629266,1.31036477594369e-11,1.31036477594369e-11,4.56943121084254e-11,9.27380251736872e-31,5.81702987767526e-06,5.3273727573107e-21,1.31036477594369e-11,1.89066911178049e-19,7.12448238839318e-08,1.31036477594369e-11,2.68406052747613e-11,9.17255343160583e-12,0.549880356980105,3.29143505257988e-06,4.52126878646361e-25,0.000294187074894338,0.000142400237445718,6.38611819057094e-24,1.31036477594369e-11
"Ross River at Aplins Weir Headwater","2020-2021",44,99.7,"Very Low",0.0728262617169643,0.283843776426089,3.24233515455063e-10,0.319708230334105,0.3,1.97307868704181e-11,4.13224917202983e-13,8.54163326183196e-38,9.99950611937077e-12,9.99950611937077e-12,3.486972192301e-11,2.67424708132891e-10,6.27596753432123e-23,4.06536389445703e-21,9.99950611937077e-12,1.44278583338284e-19,5.43675368477306e-08,9.99950611937077e-12,2.04822963513577e-11,4.99975305968539e-12,0.268488103714537,0.0164670656280546,3.45021903271198e-25,0.000224496682881846,0.0046706534292426,4.87330162546915e-24,0.0298578561239338
"Ross River at Aplins Weir Headwater","2021-2022",32,99.5,"Very Low",0.00305925222942754,0.538625712290708,5.51828686256031e-11,0.540203105499786,0.5,2.1682340435097e-11,4.54096604960693e-13,9.3864781709471e-38,1.09885478611142e-11,1.09885478611142e-11,3.83186533095347e-11,7.77688966366163e-31,6.8967175780905e-23,4.46746521216168e-21,1.09885478611142e-11,1.58549042264724e-19,5.97449787629884e-08,1.09885478611142e-11,2.2508181011702e-11,1.06653552769638e-11,0.536888653038151,2.76015444485492e-06,1.77509487142611e-06,0.000246701438557026,0.00306315588021223,5.35531530396056e-24,1.09885478611142e-11
"Ross River at Aplins Weir Headwater","2022-2023",14,99.3,"Very Low",0.000109820677158823,0.738105976225615,5.56570970951072e-11,0.738576322737414,0.7,2.51214952771025e-11,5.26123356056294e-13,1.08753189142987e-37,1.27315016578357e-11,1.27315016578357e-11,4.43965849084361e-11,9.0104247528548e-31,7.99064374918965e-23,5.17607435248431e-21,1.27315016578357e-11,1.83697374753657e-19,6.92214572646195e-08,1.27315016578357e-11,2.60783269534117e-11,1.27315016578357e-11,0.738148867236577,3.19795766781051e-06,4.39286388852502e-25,0.000285832105722907,0.000138356043477336,6.20475121302272e-24,1.27315016578357e-11
"Ross River at Aplins Weir Headwater","2023-2024",37,97.8,"Low",1.50862296421496,0.529870738753382,9.28082510649084e-06,2.21209498668496,2.2,2.35501635076111e-11,4.93214712087311e-13,1.01950754047109e-37,1.16575934803688e-11,1.19351552299014e-11,4.1619609909375e-11,8.44682905464503e-31,5.39589972306242e-06,4.85231456105497e-21,1.19351552299014e-11,1.72207233830968e-19,6.48917040500676e-08,0.311537546353015,2.44471460390165e-11,1.19351552299014e-11,0.223232028278205,2.99792767654246e-06,8.32090691417798e-07,0.00026795350958407,0.000129701970771114,1.67691846561408,1.19351552299014e-11
