Code,Indicator,ValueHalved,ValueUnchanged
AltC1.7,Ammonia,1,10
AltC1.7,FRP,6,5
AltC1.7,NOX,5,6
BOH3.9,Ammonia,3,9
BOH3.9,DIN,1,11
BOH3.9,NOX,5,7
BOH3.9,TP,2,10
BWC2.4,Ammonia,2,8
BWC2.4,NOX,1,9
CB3,Ammonia,6,5
CB3,DIN,2,9
CB3,NOX,4,7
CB3,TP,1,10
CB8,Ammonia,6,4
CB8,DIN,6,4
CB8,NOX,9,1
CB8,TP,2,8
CB9,Ammonia,7,4
CB9,DIN,4,7
CB9,NOX,5,6
CB9,TP,1,10
CryC1.0,FRP,3,8
CryC1.0,NOX,1,10
LOU0.9,Ammonia,5,7
LOU0.9,DIN,3,9
LOU0.9,NOX,5,7
LOU0.9,TP,1,11
RC04,Ammonia,1,3
RC04,DIN,1,2
RC04,FRP,2,2
RC04,NOX,2,1
RC04,TP,2,2
RC07,Ammonia,1,3
RC07,FRP,3,1
RC07,NOX,2,1
RC07,TP,3,1
RR05,Ammonia,2,2
RR05,DIN,1,2
RR05,FRP,4,NA
RR05,NOX,3,NA
RR05,TP,3,1
RolC0.8,Ammonia,2,9
RolC0.8,FRP,4,7
RolC0.8,NOX,1,10
SLC2.0,Ammonia,3,5
SLC2.0,DIN,3,5
SLC2.0,FRP,6,2
SLC2.0,NOX,3,5
SWC0.6,Ammonia,4,7
SWC0.6,DIN,1,10
SWC0.6,FRP,5,6
SWC0.6,NOX,1,10
