Code,Indicator,ValueUnchanged,ValueHalved
CB1,Chla,9,2
CB1,NOX,9,2
CB1,TP,7,4
CB15,FRP,NA,4
CB15,NOX,NA,2
CB15,TP,NA,4
CB15,TSS,2,2
CB16,FRP,NA,4
CB16,NOX,NA,2
CB16,TP,NA,4
CB16,TSS,3,1
CB2,Chla,8,3
CB2,NOX,5,6
CB2,TN,10,1
CB2,TP,7,4
CB6,Chla,9,2
CB6,NOX,1,10
CB6,TN,5,6
CB6,TP,4,7
P05,FRP,NA,4
P05,NOX,NA,2
P05,TP,NA,4
P05,TSS,2,2
Pandora,Chla,286,2
RR07,FRP,NA,4
RR07,NOX,NA,2
RR07,TP,1,3
RR09,FRP,NA,4
RR09,NOX,NA,2
RR09,TP,1,3
RR09,TSS,3,1
S2,Turbidity,321,2
SB01,FRP,NA,4
SB01,NOX,1,1
SB01,TP,1,3
SB01,TSS,1,3
SJ01,FRP,NA,4
SJ01,NOX,NA,2
SJ01,TP,NA,4
SJ01,TSS,3,1
