Code,Indicator,Val_Pass,Val_Fail,KeepSite
BUR1,Chla,9,0,Keep
BUR1,NOX,9,0,Keep
BUR1,PN,9,0,Keep
BUR1,PP,9,0,Keep
BUR1,Secchi,9,0,Keep
BUR1,TSS,8,0,Keep
BUR2,Chla,9,0,Keep
BUR2,NOX,9,0,Keep
BUR2,PN,9,0,Keep
BUR2,PP,9,0,Keep
BUR2,Secchi,9,0,Keep
BUR2,TSS,8,0,Keep
BUR4,Chla,9,0,Keep
BUR4,NOX,9,0,Keep
BUR4,PN,9,0,Keep
BUR4,PP,9,0,Keep
BUR4,Secchi,9,0,Keep
BUR4,TSS,9,0,Keep
Beagle,Turbidity,167,0,Keep
CB1,Chla,11,0,Keep
CB1,NOX,11,0,Keep
CB1,TN,11,0,Keep
CB1,TP,11,0,Keep
CB1,TSS,11,0,Keep
CB1,Turbidity,11,0,Keep
CB15,FRP,4,0,Keep
CB15,NOX,0,2,Remove
CB15,Secchi,3,0,Keep
CB15,TN,4,0,Keep
CB15,TP,4,0,Keep
CB15,TSS,4,0,Keep
CB15,Turbidity,4,0,Keep
CB16,FRP,4,0,Keep
CB16,NOX,2,0,Keep
CB16,Secchi,3,0,Keep
CB16,TN,4,0,Keep
CB16,TP,4,0,Keep
CB16,TSS,4,0,Keep
CB16,Turbidity,4,0,Keep
CB2,Chla,11,0,Keep
CB2,NOX,11,0,Keep
CB2,TN,11,0,Keep
CB2,TP,11,0,Keep
CB2,TSS,11,0,Keep
CB2,Turbidity,11,0,Keep
CB6,Chla,11,0,Keep
CB6,NOX,11,0,Keep
CB6,TN,11,0,Keep
CB6,TP,11,0,Keep
CB6,TSS,11,0,Keep
CB6,Turbidity,11,0,Keep
Geoffrey,Chla,366,0,Keep
Geoffrey,Turbidity,366,0,Keep
ORN1,Chla,8,0,Keep
ORN1,FRP,8,0,Keep
ORN1,NOX,8,0,Keep
ORN1,TN,8,0,Keep
ORN1,TP,8,0,Keep
ORN1,TSS,8,0,Keep
ORN1,Turbidity,8,0,Keep
ORN2,Chla,8,0,Keep
ORN2,FRP,8,0,Keep
ORN2,NOX,8,0,Keep
ORN2,TN,8,0,Keep
ORN2,TP,8,0,Keep
ORN2,TSS,8,0,Keep
ORN2,Turbidity,8,0,Keep
P05,FRP,4,0,Keep
P05,NOX,0,2,Remove
P05,Secchi,3,0,Keep
P05,TN,4,0,Keep
P05,TP,4,0,Keep
P05,TSS,4,0,Keep
P05,Turbidity,4,0,Keep
Pandora,Chla,288,0,Keep
Pandora,Turbidity,288,0,Keep
Pelorus,Chla,361,0,Keep
Pelorus,Turbidity,366,0,Keep
RR07,FRP,4,0,Keep
RR07,NOX,2,0,Keep
RR07,Secchi,3,0,Keep
RR07,TN,4,0,Keep
RR07,TP,4,0,Keep
RR07,TSS,4,0,Keep
RR07,Turbidity,4,0,Keep
RR09,FRP,4,0,Keep
RR09,NOX,2,0,Keep
RR09,Secchi,3,0,Keep
RR09,TN,4,0,Keep
RR09,TP,4,0,Keep
RR09,TSS,4,0,Keep
RR09,Turbidity,4,0,Keep
S2,Turbidity,323,0,Keep
SB01,FRP,4,0,Keep
SB01,NOX,2,0,Keep
SB01,Secchi,3,0,Keep
SB01,TN,4,0,Keep
SB01,TP,4,0,Keep
SB01,TSS,4,0,Keep
SB01,Turbidity,4,0,Keep
SJ01,FRP,4,0,Keep
SJ01,NOX,2,0,Keep
SJ01,Secchi,3,0,Keep
SJ01,TN,4,0,Keep
SJ01,TP,4,0,Keep
SJ01,TSS,4,0,Keep
SJ01,Turbidity,4,0,Keep
