Site.Name,First.Flush.Date
Black River at Bruce Highway,2017-08-16T07:15:00Z
Ross River at Aplins Weir Headwater,2017-11-30T15:00:00Z
Ross River at Aplins Weir Headwater,2018-07-17T07:00:00Z
Black River at Bruce Highway,2018-07-17T14:30:00Z
Ross River at Aplins Weir Headwater,2020-01-22T09:30:00Z
Black River at Bruce Highway,2020-01-22T10:00:00Z
Black River at Bruce Highway,2020-12-26T09:00:00Z
Ross River at Aplins Weir Headwater,2020-12-30T08:00:00Z
Black River at Bruce Highway,2021-11-16T07:00:00Z
Ross River at Aplins Weir Headwater,2021-11-16T07:00:00Z
Ross River at Aplins Weir Headwater,2022-07-04T10:00:00Z
Black River at Bruce Highway,2022-07-04T10:30:00Z
Black River at Bruce Highway,2023-09-23T13:00:00Z
Ross River at Aplins Weir Headwater,2023-09-23T17:00:00Z
