Site Name,Analyte
Black River at Bruce Highway,Fipronil
Black River at Bruce Highway,Fluroxypyr
Black River at Bruce Highway,"2,4-D"
Black River at Bruce Highway,Metsulfuron-methyl
Black River at Bruce Highway,Triclopyr
Black River at Bruce Highway,MCPA (Monochlorophenoxyacetic acid)
Black River at Bruce Highway,Imidacloprid
Black River at Bruce Highway,Metolachlor
Ross River at Aplins Weir Headwater,Tebuthiuron
Ross River at Aplins Weir Headwater,Fluroxypyr
Ross River at Aplins Weir Headwater,Fipronil
Ross River at Aplins Weir Headwater,Hexazinone
Ross River at Aplins Weir Headwater,Metsulfuron-methyl
Ross River at Aplins Weir Headwater,MCPA (Monochlorophenoxyacetic acid)
